"Bundle","numCases","numTractsAvg","meanFaAvg","stDevFAAvg","InputCsv"
"af.left",10,555.7,647.351613763,185.932907058,"e-experiment-orig/tractmeasures.csv"
"af.left",10,456.9,627.641424955,183.340086413,"e-experiment/tractmeasures.csv"
,,,,,
"af.right",10,572.6,626.440052978,177.218777523,"e-experiment-orig/tractmeasures.csv"
"af.right",10,508.9,616.706639333,172.739433020,"e-experiment/tractmeasures.csv"
,,,,,
"cb.left",10,2713.8,502.728574774,175.105936130,"e-experiment-orig/tractmeasures.csv"
"cb.left",10,2833.8,485.922649092,166.238612725,"e-experiment/tractmeasures.csv"
,,,,,
"cb.right",10,2075.7,490.482381549,169.344651656,"e-experiment-orig/tractmeasures.csv"
"cb.right",10,2070.3,474.079830696,157.835222416,"e-experiment/tractmeasures.csv"
,,,,,
"ilf.left",10,82.3,590.744649064,184.180860637,"e-experiment-orig/tractmeasures.csv"
"ilf.left",10,98.5,558.543919477,177.484104098,"e-experiment/tractmeasures.csv"
,,,,,
"ilf.right",10,83.3,583.696953063,182.382138756,"e-experiment-orig/tractmeasures.csv"
"ilf.right",10,92.9,558.105747108,169.598389622,"e-experiment/tractmeasures.csv"
,,,,,
"ioff.left",10,93,648.895930215,193.892523166,"e-experiment-orig/tractmeasures.csv"
"ioff.left",10,59.6,630.604975608,188.252372775,"e-experiment/tractmeasures.csv"
,,,,,
"ioff.right",10,121.4,661.273392222,193.901345233,"e-experiment-orig/tractmeasures.csv"
"ioff.right",10,122.5,640.170348122,190.794249425,"e-experiment/tractmeasures.csv"
,,,,,
"slf_i.left",10,398.8,512.245811499,134.524382754,"e-experiment-orig/tractmeasures.csv"
"slf_i.left",10,341.4,494.624935603,127.432597193,"e-experiment/tractmeasures.csv"
,,,,,
"slf_i.right",10,265.7,499.457358923,139.602681810,"e-experiment-orig/tractmeasures.csv"
"slf_i.right",10,210.4,483.164906367,134.450723503,"e-experiment/tractmeasures.csv"
,,,,,
"slf_ii.left",10,267.3,582.315392178,169.452480169,"e-experiment-orig/tractmeasures.csv"
"slf_ii.left",10,276.1,560.070317356,164.234675040,"e-experiment/tractmeasures.csv"
,,,,,
"slf_ii.right",10,270.3,578.837316239,180.414783319,"e-experiment-orig/tractmeasures.csv"
"slf_ii.right",10,266.6,562.048958578,173.571429758,"e-experiment/tractmeasures.csv"
,,,,,
"slf_iii.left",10,492.8,603.009863558,190.644259205,"e-experiment-orig/tractmeasures.csv"
"slf_iii.left",10,490.9,579.787433333,185.941213165,"e-experiment/tractmeasures.csv"
,,,,,
"slf_iii.right",10,562.3,588.786899433,183.918649254,"e-experiment-orig/tractmeasures.csv"
"slf_iii.right",10,520.8,564.917263291,178.161341226,"e-experiment/tractmeasures.csv"
,,,,,
"uf.left",10,182.2,499.860220238,163.333187684,"e-experiment-orig/tractmeasures.csv"
"uf.left",10,208.4,485.486023655,153.923523185,"e-experiment/tractmeasures.csv"
,,,,,
"uf.right",10,106.6,493.387072129,166.075610162,"e-experiment-orig/tractmeasures.csv"
"uf.right",10,134.9,477.378634451,150.869751311,"e-experiment/tractmeasures.csv"
